Section,Field,Value
Use Case UC-1.2,NFR-4,"Refresh/poll with loading indicator."
Use Case UC-1.2,NFR-5,"Warn about irreversibility after funding."
2. User Stories and Use Cases,User Story ID,"US-2"
2. User Stories and Use Cases,Role,"Lender"
2. User Stories and Use Cases,User Story,"As a lender, I want to fund listed NFT loans so that I can earn interest secured by the NFT."
2. User Stories and Use Cases,UX / User Flow,"Connect wallet → Paste loan address → Load details → Fund if available → Withdraw NFT on default."
Use Case UC-2.1,Given,"Loan status WAITING_FOR_FUNDS."
Use Case UC-2.1,When,"Lender clicks Fund."
Use Case UC-2.1,Then,"Lender recorded; status IN_PROGRESS; borrower receives funds."
Use Case UC-2.1,Input,"Loan address; value = amount + fee."
Use Case UC-2.1,Output,"Status IN_PROGRESS; lender stored."
Use Case UC-2.1,State,"Active loan."
Use Case UC-2.1,FR-6,"Fetch and show loan terms/status."
Use Case UC-2.1,FR-7,"Send OP_GIVE_MONEY with correct value and params."
Use Case UC-2.1,FR-8,"Disable funding if status ≠ WAITING_FOR_FUNDS."
Use Case UC-2.1,NFR-6,"Concise TX progress feedback."
Use Case UC-2.1,NFR-7,"Prevent double-submit."
Use Case UC-2.2,Given,"Loan past due, not repaid."
Use Case UC-2.2,When,"Lender clicks Withdraw NFT."
Use Case UC-2.2,Then,"Contract transfers NFT to lender; status NOT_REPAYED."
Use Case UC-2.2,Input,"Loan address; small gas value."
Use Case UC-2.2,Output,"NFT to lender; status updated."
Use Case UC-2.2,State,"Closed (default)."
Use Case UC-2.2,FR-9,"Trigger OP_LOAN_NOT_REPAYED_WITHDRAW_NFT."
Use Case UC-2.2,FR-10,"Reflect new status and ownership in UI."
Use Case UC-2.2,NFR-8,"Warn about permanence before action."
Use Case UC-2.2,NFR-9,"Show success/failure toast."
2. User Stories and Use Cases,User Story ID,"US-3"
2. User Stories and Use Cases,Role,"Borrower (repayment)"
2. User Stories and Use Cases,User Story,"As a borrower, I want to repay my loan so that I can get my NFT back."
2. User Stories and Use Cases,UX / User Flow,"Connect wallet → Profile → Load loan → Repay before due date."
Use Case UC-3.1,Given,"Loan status IN_PROGRESS and before due date."
Use Case UC-3.1,When,"Borrower clicks Repay."
Use Case UC-3.1,Then,"Contract marks REPAYED; NFT returned."
Use Case UC-3.1,Input,"Loan address; value = principal + fee (covers interest)."
Use Case UC-3.1,Output,"Status REPAYED; NFT back to borrower."
Use Case UC-3.1,State,"Closed (repaid)."
Use Case UC-3.1,FR-11,"Send OP_REPAY_LOAN with correct value/payload."
Use Case UC-3.1,FR-12,"Refresh status and show NFT return info."
Use Case UC-3.1,NFR-10,"Display deadline and remaining time."
Use Case UC-3.1,NFR-11,"Graceful network error handling."
3. Architecture / Solution,3.1 Client Type,"Web UI (React + Vite) with TonConnect"
3. Architecture / Solution,User Entry Points,"/, /get-loan, /give-loan, /profile"
3. Architecture / Solution,Main Screens / Commands,"Get Loan form; Give Loan lookup; Profile actions; Home how-it-works"
3. Architecture / Solution,Input / Output Format,"Forms (amount, duration, percent, addresses), status displays, TonConnect tx requests"
3. Architecture / Solution,Service Name,"TON blockchain + toncenter/tonapi (no custom backend)"
3. Architecture / Solution,Responsibility,"On-chain state, NFT data, tx relay"
3. Architecture / Solution,Business Logic,"Main contract handles deploy/fund/repay/liquidate/param-change/cancel"
3. Architecture / Solution,API / Contract,"Toncenter get methods; TonConnect wallet tx; tonapi NFT list"
3. Architecture / Solution,Request Schema,"TonConnect message: address, amount, payload, optional stateInit"
3. Architecture / Solution,Response Schema,"TonConnect pending tx; toncenter stack with status/params"
3. Architecture / Solution,Error Handling,"UI alerts/toasts; catch fetch errors; retries on load"
3. Architecture / Solution,Main Entities (ER),"LoanContract, NFT, Borrower, Lender, LoanParams"
3. Architecture / Solution,Relationships (ER),"LoanContract 1–1 NFT; LoanContract 1–1 Borrower; LoanContract 0–1 Lender"
3. Architecture / Solution,Data Flow (DFD),"Wallet→TonConnect→TON; UI→tonapi for NFT list; UI→toncenter for getData"
3. Architecture / Solution,Input Sources,"User wallet, tonapi NFT endpoint, toncenter get method"
3. Architecture / Solution,Required Hardware / Resources,"Static hosting; toncenter endpoints (mainnet/testnet); TonConnect manifest hosting"
4. Work Plan,UC-1.1 → Task,"T-1: Borrower form/validation/deploy success UI","Depends on TonConnect config"
4. Work Plan,UC-1.2 → Task,"T-2: Status polling + cancel-before-fund UX","Depends on T-1"
4. Work Plan,UC-2.1 → Task,"T-3: Lender lookup + fund guard + feedback","Depends on T-1"
4. Work Plan,UC-2.2 → Task,"T-4: Default/withdraw path with warnings","Depends on T-3"
4. Work Plan,UC-3.1 → Task,"T-5: Repay flow with deadline display","Depends on T-1"
5. Detailed Task Breakdown,T-1 Description,"Implement borrower validation, deploy call, success banner","DoD: deploy works on testnet; address shown; invalid input blocked"
5. Detailed Task Breakdown,T-1 Subtask ST-1,"Client validation amount/duration/interest","Acceptance: rejects bad input"
5. Detailed Task Breakdown,T-1 Subtask ST-2,"Wire deploy button to deployLoanContract with loading/error","Acceptance: spinner + error toast"
5. Detailed Task Breakdown,T-1 Subtask ST-3,"Success banner with copyable address and reset","Acceptance: address copy works"
5. Detailed Task Breakdown,T-2 Description,"Post-deploy guidance, status detect after NFT transfer, cancel pre-fund","DoD: status goes WAITING_FOR_FUNDS; cancel works; warnings shown"
5. Detailed Task Breakdown,T-2 Subtask ST-4,"Poll/getData to show status","Acceptance: status refreshes"
5. Detailed Task Breakdown,T-2 Subtask ST-5,"Cancel button calling sendCancelBeforeStart with confirmation","Acceptance: tx sent; UI updates"
5. Detailed Task Breakdown,T-3 Description,"Lender lookup UI, summary, fund action with guards","DoD: funding only when WAITING_FOR_FUNDS; status flips; feedback shown"
5. Detailed Task Breakdown,T-3 Subtask ST-6,"Address input + load handler to getData","Acceptance: loads or errors clearly"
5. Detailed Task Breakdown,T-3 Subtask ST-7,"Display loan summary and status chip","Acceptance: matches contract data"
5. Detailed Task Breakdown,T-3 Subtask ST-8,"Fund button wired to sendGiveLoan; loading/error handling","Acceptance: tx sent once"
5. Detailed Task Breakdown,T-4 Description,"Default/liquidation path for lender","DoD: withdraw succeeds; status NOT_REPAYED; ownership shown"
5. Detailed Task Breakdown,T-4 Subtask ST-9,"Warning modal before withdraw","Acceptance: user confirms"
5. Detailed Task Breakdown,T-4 Subtask ST-10,"Wire sendWithdrawNftNotRepaid; refresh status","Acceptance: status updates"
5. Detailed Task Breakdown,T-5 Description,"Borrower repayment flow with deadline context","DoD: repay works; status REPAYED; deadline shown"
5. Detailed Task Breakdown,T-5 Subtask ST-11,"Compute/display due date from startedAt+duration","Acceptance: visible countdown"
5. Detailed Task Breakdown,T-5 Subtask ST-12,"Wire sendRepayLoan; refresh status; success toast","Acceptance: status updates; toast"
